animal	sire	dam	born	sex	herd	status	cause	died	TBV	recessives
	1612936	1523001	1532939	18	M	134	A		-1	4512.66468262	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1684750	1526905	1476652	18	M	155	A		-1	4512.8846508	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1639495	1524058	1538812	18	M	185	A		-1	4513.06861463	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1692089	1526983	1397136	18	M	153	A		-1	4513.97135782	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1650588	1524627	1517895	18	M	97	A		-1	4515.48379496	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1599643	1525631	1546242	18	M	16	A		-1	4515.54337845	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1688689	1526905	1497385	18	M	179	A		-1	4515.82076928	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1610630	1523001	1530737	18	M	66	A		-1	4516.16040071	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1628986	1523456	1433893	18	M	8	A		-1	4516.35770572	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1662660	1525065	1537093	18	M	172	A		-1	4516.36736898	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1623346	1523193	1557365	18	M	153	A		-1	4516.4716628	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1691230	1526983	1499893	18	M	98	A		-1	4516.9769805	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1630764	1523618	1541116	18	M	53	A		-1	4516.99750254	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1616498	1523163	1577632	18	M	55	A		-1	4517.04180051	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1535602	1419877	1478343	17	M	164	A		-1	4517.15855476	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1666697	1525251	1527523	18	M	18	A		-1	4517.59237307	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1613111	1523001	1458818	18	M	26	A		-1	4517.67680879	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1640716	1524058	1552330	18	M	134	A		-1	4517.89142159	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1682527	1526221	1425022	18	M	74	A		-1	4518.00232358	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1645503	1524439	1568489	18	M	119	A		-1	4518.52957444	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1601570	1525631	1495240	18	M	60	A		-1	4518.83820867	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1659275	1524964	1316764	18	M	62	A		-1	4519.11967303	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1664916	1525251	1548663	18	M	143	A		-1	4519.19348725	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1670591	1526047	1531132	18	M	12	A		-1	4519.21351651	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1652908	1524627	1585015	18	M	126	A		-1	4519.71615587	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1691967	1526983	1588167	18	M	51	A		-1	4519.99520094	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1616970	1523163	1507419	18	M	185	A		-1	4520.04720486	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1668272	1525251	1477737	18	M	67	A		-1	4520.30429836	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1511251	1418843	1431234	17	M	72	A		-1	4520.4136154	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1669228	1525251	1551397	18	M	160	A		-1	4520.71509533	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1622257	1523193	1526189	18	M	138	A		-1	4521.07624463	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1604977	1522905	1583701	18	M	20	A		-1	4521.12684303	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1662381	1525065	1553179	18	M	81	A		-1	4521.4057333	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1562262	1420388	1455841	17	M	126	A		-1	4521.87215705	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1690761	1526983	1525638	18	M	141	A		-1	4522.94015973	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1659990	1525065	1527078	18	M	177	A		-1	4523.81777425	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1676703	1529965	1544610	18	M	82	A		-1	4524.46485254	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1682007	1526221	1557487	18	M	19	A		-1	4525.11617928	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1676922	1529965	1496189	18	M	134	A		-1	4526.34685487	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1545747	1420013	1483273	17	M	60	A		-1	4526.4902557	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1651863	1524627	1538792	18	M	159	A		-1	4526.57832955	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1675455	1529965	1474354	18	M	194	A		-1	4526.84213757	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1661019	1525065	1544533	18	M	120	A		-1	4526.97043805	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1692194	1526983	1571439	18	M	127	A		-1	4527.15859356	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1634626	1523870	1563791	18	M	30	A		-1	4527.2795731	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1673091	1526047	1501545	18	M	173	A		-1	4527.37505543	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1678974	1529965	1568195	18	M	186	A		-1	4527.51042764	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1668323	1525251	1525807	18	M	42	A		-1	4527.86360003	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1664688	1525251	1318255	18	M	176	A		-1	4528.21126112	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1604401	1525631	1530319	18	M	100	A		-1	4528.34670895	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1603421	1525631	1511674	18	M	54	A		-1	4528.47945216	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1599718	1525631	1578780	18	M	108	A		-1	4528.50478722	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1664854	1525251	1309446	18	M	103	A		-1	4528.50659967	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1613239	1523001	1531443	18	M	54	A		-1	4528.57318561	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1629972	1523618	1488255	18	M	48	A		-1	4528.66537193	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1665013	1525251	1592680	18	M	80	A		-1	4528.99259339	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1610158	1523001	1501370	18	M	169	A		-1	4529.07727378	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1601171	1525631	1532436	18	M	170	A		-1	4529.26289779	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
