animal	sire	dam	born	sex	herd	status	cause	died	TBV	recessives
	1195521	1194257	795084	14	M	0	A		-1	3621.45799322	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1244780	1125069	1051547	14	M	39	A		-1	3621.46016731	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1251593	1125098	1159657	14	M	34	A		-1	3621.69250282	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1276692	1126353	1180451	14	M	35	A		-1	3621.96611154	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]
	1238539	1125046	1076273	14	M	1	A		-1	3622.34190731	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1198384	1194257	1128642	14	M	93	A		-1	3622.52350652	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1221428	1124497	962045	14	M	154	A		-1	3623.24490963	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1244674	1125069	1102305	14	M	130	A		-1	3623.26195435	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1265694	1125131	1147262	14	M	189	A		-1	3623.38434584	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1235156	1125046	816049	14	M	41	A		-1	3623.46388285	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1251260	1125098	1098397	14	M	46	A		-1	3623.63742443	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1274391	1125306	1176685	14	M	32	A		-1	3623.77538862	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1220169	1124497	1065237	14	M	82	A		-1	3623.90630684	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1251731	1125098	1056336	14	M	187	A		-1	3624.34658998	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1158414	1030681	1033738	13	M	32	A		-1	3624.43081351	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1221052	1124497	1186981	14	M	113	A		-1	3624.53747312	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1252390	1125098	1110591	14	M	83	A		-1	3624.65542185	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1235077	1125046	1048710	14	M	113	A		-1	3624.80992632	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1275581	1126353	1145849	14	M	140	A		-1	3625.02844717	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1244608	1125069	1158768	14	M	87	A		-1	3625.26341223	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1232303	1124949	1056849	14	M	181	A		-1	3625.35488959	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1260657	1125129	1116719	14	M	8	A		-1	3625.87286579	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1255592	1125121	1175342	14	M	19	A		-1	3625.87877928	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1252093	1125098	1030332	14	M	112	A		-1	3625.94991611	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1260496	1125129	1164039	14	M	44	A		-1	3626.53023782	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1206344	1123808	1151037	14	M	170	A		-1	3626.85785036	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1215531	1124286	1118774	14	M	73	A		-1	3626.93425018	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1253485	1125098	1149070	14	M	23	A		-1	3627.25461458	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1115501	1029107	1053389	13	M	63	A		-1	3627.46142187	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1209008	1123808	1182020	14	M	142	A		-1	3627.51296781	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1266051	1125131	1150376	14	M	42	A		-1	3627.60459292	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1269400	1125131	1179623	14	M	85	A		-1	3627.79106529	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1241011	1125069	1017431	14	M	173	A		-1	3627.82881071	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1252260	1125098	1016035	14	M	26	A		-1	3628.24551502	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1236730	1125046	1171624	14	M	172	A		-1	3628.26290974	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1252365	1125098	1150989	14	M	172	A		-1	3628.29645622	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1220976	1124497	1182523	14	M	23	A		-1	3629.02609788	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1251241	1125098	903886	14	M	142	A		-1	3629.2084296	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1252948	1125098	1112331	14	M	22	A		-1	3629.62064126	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1292685	1125473	1102297	14	M	175	A		-1	3630.00734771	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1250687	1125098	1117187	14	M	81	A		-1	3630.38307384	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1290520	1125473	1126622	14	M	45	A		-1	3630.39567533	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1213363	1123998	1023920	14	M	188	A		-1	3630.59706563	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1242518	1125069	1176549	14	M	101	A		-1	3630.95879165	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1220584	1124497	1170201	14	M	63	A		-1	3631.42641624	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1219166	1124286	1184125	14	M	88	A		-1	3631.57172474	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1242864	1125069	1180695	14	M	44	A		-1	3631.67330274	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1262109	1125129	1083979	14	M	131	A		-1	3631.79435178	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1253036	1125098	1120586	14	M	69	A		-1	3632.17092916	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1228108	1124678	1148657	14	M	89	A		-1	3632.48257756	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1041854	926239	802343	12	M	152	A		-1	3632.51444737	[1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1263999	1125129	1122036	14	M	148	A		-1	3632.56416678	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1251723	1125098	1011391	14	M	113	A		-1	3632.69281681	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1221608	1124497	1109469	14	M	138	A		-1	3632.98933221	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1286014	1125445	1142165	14	M	27	A		-1	3633.54494769	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1234955	1125046	1109010	14	M	33	A		-1	3634.19776926	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1213412	1123998	1145483	14	M	190	A		-1	3634.38720861	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]
	1221345	1124497	1158805	14	M	95	A		-1	3634.50222726	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1247018	1125078	1141656	14	M	177	A		-1	3634.52792927	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1240923	1125069	1193177	14	M	82	A		-1	3634.68038973	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
